Cidade,Sexo,cor_da_pele,Idade,Escala_1,Escala_2,Escala_5,Escala_8,Escala_10,Escala_11
Estância,feminino,Preto,16.0,1.88889,2.3750,3.14286,4.50,2.16667,3.6
Estância,masculino,Pardo,16.0,3.11111,2.9375,1.57143,2.00,1,2.2
Estância,feminino,Preto,16.0,1,1.8750,,3.75,1,4.0
Estância,masculino,Preto,16.0,1.55556,1.3125,1,5.00,1.16667,3.0
Estância,feminino,Pardo,16.0,2.55556,3.6250,,2.50,3.66667,3.0
Estância,masculino,Pardo,16.0,2.66667,2.3125,1,5.00,1.83333,3.6
Estância,masculino,,16.0,2.44444,1.9375,,,3,3.4
Estância,masculino,Pardo,16.0,,1.7500,1,5.00,1,4.0
Estância,masculino,Pardo,16.0,2.11111,2.1250,1.85714,4.25,2.16667,3.6
Estância,masculino,Pardo,16.0,2.44444,2.7500,1.42857,3.25,3.33333,2.8
Estância,feminino,Branco,16.0,1.88889,,1.28571,3.75,2.16667,2.6
Estância,feminino,Pardo,16.0,,2.0000,3.14286,2.25,1.66667,2.8
Estância,feminino,Pardo,16.0,1.88889,2.0000,1.28571,3.75,1,3.0
Estância,feminino,Pardo,16.0,3.77778,2.8125,2.57143,4.00,3.33333,3.0
Estância,masculino,Preto,16.0,3.77778,2.0625,1,4.00,3.5,2.8
Estância,masculino,Preto,16.0,2.88889,2.2500,2.28571,2.75,3.16667,3.0
Estância,masculino,Branco,16.0,3.33333,2.0625,1,4.25,3,2.4
Estância,feminino,Pardo,16.0,3.22222,2.3750,1.28571,2.00,3,2.8
Estância,feminino,Pardo,16.0,2.44444,1.8750,1,4.00,2.16667,4.2
Estância,masculino,Preto,16.0,2.44444,1.6875,1.57143,4.25,2.33333,3.4
Estância,feminino,Pardo,16.0,2.44444,2.0000,1,2.25,1.16667,4.0
Estância,masculino,Preto,16.0,1.77778,2.2500,2.14286,3.50,2.33333,2.8
Estância,masculino,Pardo,16.0,1.55556,1.3750,1.14286,5.00,1,3.8
Estância,feminino,Pardo,16.0,2.33333,1.6250,1.85714,3.25,1,3.8
Estância,feminino,,16.0,2.33333,2.1250,1,2.25,1.33333,2.8
Estância,feminino,Pardo,16.0,2.88889,2.3750,1,1.00,1,1.8
Estância,masculino,Pardo,16.0,2.44444,1.5625,1.28571,4.00,2,3.0
Estância,feminino,Pardo,16.0,3.66667,1.7500,1,5.00,2,4.4
Estância,masculino,Branco,16.0,2.66667,1.6250,1.71429,5.00,1.33333,3.8
Estância,masculino,Preto,16.0,3.11111,2.1250,,5.00,1.66667,2.8
Estância,masculino,Pardo,16.0,3.33333,2.3125,2.71429,4.50,1.5,3.8
Estância,masculino,Pardo,16.0,2.44444,2.6250,3.85714,4.25,2.66667,3.0
Estância,masculino,Branco,16.0,,3.0625,2.42857,4.00,3.66667,2.2
Estância,feminino,Preto,16.0,1.33333,2.1250,1,3.25,1.16667,4.4
Estância,feminino,Branco,16.0,2.33333,1.7500,2.14286,4.75,2,3.0
Estância,feminino,Pardo,16.0,2.77778,2.7500,1.42857,2.50,3.16667,2.6
Estância,feminino,Preto,16.0,2.88889,2.1875,1.71429,3.50,3.16667,3.6
Estância,masculino,,16.0,2.77778,2.5000,1,4.00,2.33333,3.6
Estância,feminino,,16.0,1.77778,,1.57143,4.75,1,3.6
Estância,masculino,Pardo,16.0,3.88889,2.1875,,3.25,2.83333,5.0
Estância,masculino,Pardo,16.0,3.22222,2.5625,2.14286,2.25,,4.6
Estância,feminino,Preto,16.0,2.22222,1.5000,1,5.00,1,5.0
Estância,feminino,Pardo,16.0,2.66667,1.8125,1,2.25,1.66667,3.4
Estância,feminino,,16.0,2.55556,2.1875,1,2.25,1,3.0
Estância,feminino,Pardo,16.0,2,2.0000,1.57143,5.00,1.5,3.2
Estância,feminino,Preto,16.0,1.66667,1.9375,1,4.25,3.16667,5.0
Estância,masculino,Preto,16.0,2.66667,1.6875,1,4.75,3,2.6
Estância,masculino,Pardo,16.0,3,2.0625,1,4.75,2.5,3.4
Simão Dias,masculino,Branco,16.0,2.88889,,1.42857,1.00,1.83333,
Simão Dias,feminino,Branco,16.0,2.22222,2.6250,1,1.00,1,3.8
Simão Dias,feminino,Pardo,16.0,,1.7500,1.14286,3.75,1.33333,4.0
Simão Dias,feminino,Branco,16.0,2.22222,,1,3.75,1,
Simão Dias,feminino,Pardo,16.0,1.55556,1.5625,1,3.25,1.66667,3.8
